symbol,atomic_number,atomic_radius,atomic_volume,boiling_point,density,dipole_polarizability,electron_affinity,valance_main,evaporation_heat,fusion_heat,group_id,lattice_constant,melting_point,period,series_id,specific_heat,thermal_conductivity,vdw_radius,covalent_radius_cordero,covalent_radius_pyykko,en_pauling,en_allen,heat_of_formation,c6,covalent_radius_bragg,covalent_radius_slater,vdw_radius_batsanov,vdw_radius_uff,vdw_radius_mm3,abundance_crust,abundance_sea,en_ghosh,vdw_radius_alvarez,c6_gb,atomic_weight,atomic_weight_uncertainty,is_monoisotopic,atomic_radius_rahm,covalent_radius_pyykko_double,discovery_year,mendeleev_number,dipole_polarizability_unc,pettifor_number,glawe_number,magp_column,magp_electron_affinity,magp_atomic_volume,magp_atomic_masses,magp_valence_d,magp_valence_s,magp_T_melt,magp_electronegativity,magp_unfilled_f,magp_valence_p,magp_unfilled_d,magp_valence_f,magp_row,magp_unfilled,magp_valence,magp_T_boil,magp_magnetic_moment,magp_cohesive_energy,magp_density,magp_covalent_radius,magp_polarizability,imat_electron_affinity,imat_electronegativity,imat_electron_binding_energy,imat_atomic_radius,imat_valence,imat_cohesive_energy,imat_ionization_energy,ase_magnetic_moment,pymg_atomic_radius,pymg_electronegativity,ionization_energy,pseudo_POMASS,pseudo_ZVAL,pseudo_ENMAX,pseudo_ENMIN,pseudo_RCORE,pseudo_RWIGS,pseudo_EATOM,pseudo_RPACOR,pseudo_RCLOC,pseudo_EAUG,pseudo_RMAX,pseudo_RAUG,pseudo_RDEP,pseudo_RDEPT,pseudo_DEXC,pseudo_IUNSCR,pseudo_s_occ,pseudo_p_occ,pseudo_d_occ,pseudo_f_occ,pseudo_avg_orbital_energy,pseudo_min_orbital_energy,pseudo_max_orbital_energy,pseudo_avg_proj_energy,pseudo_num_projectors
Na,11,190.0,23.7,1156.1,0.971,162.7,0.547926,1.0,97.9,2.64,1.0,4.23,370.96,3,3,1.222,142.0,227.0,166.0,155,0.93,5.14,107.5,1518.0,177.0,180.0,240.0,298.3,270.0,23600.0,10800.0,0.093214,250.0,1570.0,22.98976928,2e-08,True,225.0,160.0,1807.0,2,0.5,11.0,11.0,1.0,53.0,39.43832888,22.98977,0.0,1.0,370.87,0.93,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1156.0,1.0,1.11,968.0,1.66,24.11,53.0,0.93,30.8,154.0,1.0,1.11,0.93,1.0,1.8,0.93,5.1390767,22.99,1.0,101.968,76.476,2.2,3.32,5.1581,1.8,0.0,250.695,2.245,1.3,2.259,2.115,0.0,1.0,1.0,0.0,0.0,0.0,-280.46549999999996,-1033.6933,-2.744,5.4366327,4.0
Mg,12,160.0,14.0,1363.0,1.738,71.2,0.0,2.0,131.8,9.2,2.0,3.21,922.0,3,4,1.025,156.0,173.0,141.0,139,1.31,7.646,147.1,626.0,142.0,150.0,220.0,302.1,243.0,23300.0,1290.0,0.121644,251.0,629.0,24.305,0.0,0,240.0,132.0,1808.0,76,0.4,73.0,73.0,2.0,0.0,23.2222931,24.305,0.0,2.0,923.0,1.31,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1363.0,0.0,1.51,1738.0,1.41,10.76666667,0.0,1.31,49.5,130.0,2.0,1.51,7.6462,0.0,1.5,1.31,7.646235,24.305,2.0,200.0,100.0,2.0,2.88,23.0369,1.5,1.506,454.734,2.045,1.3,2.025,1.942,0.0,1.0,2.0,0.0,0.0,0.0,-347.69620000000003,-1259.623,-4.7055,9.943567580000002,5.0
Al,13,143.0,10.0,2740.0,2.6989,57.8,0.43283,3.0,284.1,10.75,13.0,4.05,933.5,3,7,0.9,237.0,184.0,121.0,126,1.61,9.539,330.9,528.0,135.0,125.0,210.0,449.9,236.0,82300.0,0.002,0.150078,225.0,520.0,26.9815385,7e-07,True,239.0,113.0,1825.0,82,1.0,80.0,78.0,13.0,43.0,16.59442452,26.98154,0.0,2.0,933.47,1.61,0.0,1.0,0.0,0.0,3.0,5.0,3.0,2792.0,1.0,3.39,2700.0,1.21,6.8,43.0,1.61,72.5,118.0,3.0,3.39,5.9857,1.0,1.25,1.61,5.9857684,26.981,3.0,240.3,180.225,1.9,2.65,53.5387,1.5,0.0,291.052,1.939,1.3,1.966,1.856,0.0,1.0,2.0,1.0,0.0,0.0,-339.87456000000003,-1511.1048,-2.7121,-0.5779891600000003,5.0
Si,14,132.0,12.1,2628.0,2.33,37.3,1.3895211,4.0,383.0,50.6,14.0,5.43,1683.0,3,5,0.703,149.0,210.0,111.0,116,1.9,11.33,450.0,305.0,117.0,110.0,210.0,429.5,229.0,282000.0,2.2,0.178503,219.0,308.0,28.085,0.0,0,232.0,107.0,1824.0,88,0.7,85.0,85.0,14.0,134.0,20.01637772,28.085,0.0,2.0,1687.0,1.9,0.0,2.0,0.0,0.0,3.0,4.0,4.0,3173.0,2.0,4.63,2330.0,1.11,5.53,134.0,1.9,99.4,111.0,4.0,4.63,1.9,2.0,1.1,1.9,8.151683,28.085,4.0,245.345,184.009,1.9,2.48,103.0669,1.5,0.0,322.069,1.95,1.3,1.993,1.837,0.0,1.0,2.0,2.0,0.0,0.0,-407.16562000000005,-1785.8828,-4.0811,-4.8265595,5.0
P,15,128.0,17.0,553.0,1.82,25.0,0.746607,5.0,49.8,2.51,15.0,7.17,317.3,3,1,0.757,0.0,180.0,107.0,111,2.19,13.33,316.5,185.0,0.0,100.0,195.0,414.7,222.0,1050.0,0.06,0.206931,190.0,187.0,30.973762,5e-09,True,223.0,102.0,1669.0,94,1.0,90.0,89.0,15.0,72.0,28.21412182,30.97376,0.0,2.0,317.3,2.19,0.0,3.0,0.0,0.0,3.0,3.0,5.0,553.5,3.0,3.43,1823.0,1.07,3.63,72.0,2.19,135.0,106.0,5.0,3.43,10.4866,3.0,1.0,2.19,10.486686,30.974,5.0,255.04,191.28,1.9,2.33,176.043,1.5,0.0,342.924,1.935,1.3,1.931,1.794,0.0,1.0,0.0,0.0,0.0,0.0,-480.4093,-2084.0982,-5.5067,-7.39066742,5.0
S,16,127.0,15.5,717.824,2.07,19.4,2.07710403,6.0,10.5,1.23,16.0,10.47,386.0,3,1,0.732,0.27,180.0,105.0,103,2.58,15.31,277.17,134.0,102.0,100.0,180.0,403.5,215.0,350.0,905.0,0.23596,189.0,140.0,32.06,0.0,0,214.0,94.0,0.0,100,0.1,94.0,96.0,16.0,200.0,27.16654579,32.06,0.0,2.0,388.36,2.58,0.0,4.0,0.0,0.0,3.0,2.0,6.0,717.72,2.0,2.85,1960.0,1.05,2.9,200.0,2.58,162.5,102.0,6.0,2.85,2.58,2.0,1.0,2.58,10.36001,32.066,6.0,258.689,194.016,1.9,2.2,276.823,1.5,0.0,335.092,1.942,1.3,1.954,1.744,0.0,1.0,0.0,0.0,0.0,0.0,-559.66036,-2405.8406,-7.0085,-9.943983600000001,5.0
Cl,17,0.0,18.7,238.6,1.56,14.6,3.612725,7.0,20.41,6.41,17.0,6.24,172.2,3,6,0.0,0.009,175.0,102.0,99,3.16,16.97,121.302,94.6,105.0,100.0,180.0,394.7,207.0,145.0,19400.0,0.263803,182.0,97.1,35.45,0.0,0,206.0,95.0,1774.0,107,0.1,99.0,101.0,17.0,349.0,18317.50704,35.45,0.0,2.0,171.6,3.16,0.0,5.0,0.0,0.0,3.0,1.0,7.0,238.96,1.0,1.4,3.214,1.02,2.18,349.0,3.16,200.0,99.0,7.0,1.4,12.9676,1.0,1.0,3.16,12.96763,35.453,7.0,262.472,196.854,1.9,2.1,409.7259,1.5,0.0,356.192,1.945,1.3,2.02,1.678,0.0,1.0,2.0,5.0,0.0,0.0,-644.95466,-2751.185,-8.5949,-12.977360039999999,5.0
Ar,18,0.0,24.2,87.3,1.4,11.083,-11.5,8.0,6.52,0.0,18.0,5.26,83.8,3,2,0.138,0.0177,188.0,106.0,96,0.0,19.17,0.0,64.2,0.0,0.0,0.0,386.8,199.0,3.5,0.45,0.2922,194.0,67.4,39.948,0.001,0,197.0,107.0,1894.0,114,0.007,3.0,3.0,18.0,0.0,37184.28542,39.948,0.0,2.0,83.8,0.0,0.0,6.0,0.0,0.0,3.0,0.0,8.0,87.2,0.0,0.08,1.784,1.06,1.6411,0.0,0.0,15.7,97.0,0.0,0.08,15.759,0.0,0.71,0.0,15.7596112,39.949,8.0,266.408,199.806,1.9,1.8,579.0493,2.0,0.0,482.93,1.945,1.3,1.972,1.517,0.0,1.0,2.0,6.0,0.0,0.0,-736.32032,-3120.2029,-10.2695,4.286584925,4.0
K,19,235.0,45.3,1047.0,0.856,289.7,0.50147,1.0,2.33,102.5,1.0,5.23,336.8,4,3,0.753,79.0,275.0,203.0,196,0.82,4.34,89.0,3923.0,207.0,220.0,280.0,381.2,309.0,20900.0,399.0,0.0981896,273.0,3910.0,39.0983,0.0001,0,234.0,193.0,1807.0,3,0.3,10.0,10.0,1.0,48.0,75.84786468,39.0983,0.0,1.0,336.53,0.82,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1032.0,1.0,0.93,856.0,2.03,43.23,48.0,0.82,18.3,196.0,1.0,0.93,4.3406,1.0,2.2,0.82,4.34066354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ca,20,197.0,29.9,1757.0,1.55,160.8,0.02455,2.0,153.6,9.2,2.0,5.58,1112.0,4,4,0.653,0.0,231.0,176.0,171,1.0,6.113,177.8,2163.0,170.0,180.0,240.0,339.9,281.0,41500.0,412.0,0.1154119,262.0,2230.0,40.078,0.004,0,270.0,147.0,1808.0,7,4.0,16.0,16.0,2.0,2.0,42.9371873,40.078,0.0,2.0,1115.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,1757.0,0.0,1.842,1550.0,1.76,25.73333333,2.0,1.0,25.4,174.0,2.0,1.842,6.1131,0.0,1.8,1.0,6.1131552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
