symbol,atomic_number,atomic_radius,atomic_volume,boiling_point,density,dipole_polarizability,electron_affinity,valance_main,evaporation_heat,fusion_heat,group_id,lattice_constant,melting_point,period,series_id,specific_heat,thermal_conductivity,vdw_radius,covalent_radius_cordero,covalent_radius_pyykko,en_pauling,en_allen,heat_of_formation,c6,covalent_radius_bragg,covalent_radius_slater,vdw_radius_batsanov,vdw_radius_uff,vdw_radius_mm3,abundance_crust,abundance_sea,en_ghosh,vdw_radius_alvarez,c6_gb,atomic_weight,atomic_weight_uncertainty,is_monoisotopic,atomic_radius_rahm,covalent_radius_pyykko_double,discovery_year,mendeleev_number,dipole_polarizability_unc,pettifor_number,glawe_number,magp_column,magp_electron_affinity,magp_atomic_volume,magp_atomic_masses,magp_valence_d,magp_valence_s,magp_T_melt,magp_electronegativity,magp_unfilled_f,magp_valence_p,magp_unfilled_d,magp_valence_f,magp_row,magp_unfilled,magp_valence,magp_T_boil,magp_magnetic_moment,magp_cohesive_energy,magp_density,magp_covalent_radius,magp_polarizability,imat_electron_affinity,imat_electronegativity,imat_electron_binding_energy,imat_atomic_radius,imat_valence,imat_cohesive_energy,imat_ionization_energy,ase_magnetic_moment,pymg_atomic_radius,pymg_electronegativity,ionization_energy,pseudo_POMASS,pseudo_ZVAL,pseudo_ENMAX,pseudo_ENMIN,pseudo_RCORE,pseudo_RWIGS,pseudo_EATOM,pseudo_RPACOR,pseudo_RCLOC,pseudo_EAUG,pseudo_RMAX,pseudo_RAUG,pseudo_RDEP,pseudo_RDEPT,pseudo_DEXC,pseudo_IUNSCR,pseudo_s_occ,pseudo_p_occ,pseudo_d_occ,pseudo_f_occ,pseudo_avg_orbital_energy,pseudo_min_orbital_energy,pseudo_max_orbital_energy,pseudo_avg_proj_energy,pseudo_num_projectors
Sc,21,162.0,15.0,3104.0,2.99,97.0,0.188,2.0,332.7,15.8,3.0,3.31,1814.0,4,8,0.556,15.8,215.0,170.0,148,1.36,7.042,377.8,1383.0,0.0,160.0,230.0,329.5,261.0,22.0,6e-07,0.1193833,258.0,1570.0,44.955908,5e-06,True,263.0,116.0,1879.0,11,10.0,20.0,48.0,3.0,18.0,25.00931092,44.95591,1.0,2.0,1814.0,1.36,0.0,0.0,9.0,0.0,4.0,9.0,3.0,3103.0,1.0,3.9,2985.0,1.7,17.8,18.0,1.36,28.3,144.0,3.0,3.9,1.36,1.0,1.6,1.36,6.56149,44.956,3.0,154.763,116.072,3.0,3.0,44.642,2.0,1.776,301.784,3.066,1.3,3.011,2.461,0.0,1.0,3.0,4.0,0.0,0.0,-762.5978714285714,-4394.2533,-1.3655,2.8238558600000006,5.0
Ti,22,147.0,10.6,3560.0,4.54,100.0,0.079,2.0,422.6,18.8,4.0,2.95,1933.0,4,8,0.523,21.9,211.0,160.0,136,1.54,8.17,473.0,1044.0,140.0,140.0,215.0,317.5,239.0,5650.0,0.001,0.1233637,246.0,1200.0,47.867,0.001,0,257.0,117.0,1791.0,43,10.0,51.0,51.0,4.0,8.0,17.63631716,47.867,2.0,2.0,1941.0,1.54,0.0,0.0,8.0,0.0,4.0,8.0,4.0,3560.0,2.0,4.85,4507.0,1.6,14.6,8.0,1.54,32.6,136.0,4.0,4.85,1.54,2.0,1.4,1.54,6.82812,47.88,4.0,178.33,133.747,2.8,2.5,94.7928,2.2,2.215,328.883,2.868,1.3,2.885,2.32,0.0,1.0,1.0,0.0,3.0,0.0,-848.5235999999999,-4865.3608,-1.9157,1.7830673799999999,5.0
V,23,134.0,8.35,3650.0,6.11,87.0,0.525,2.0,460.0,17.5,5.0,3.02,2160.0,4,8,0.485,30.7,207.0,153.0,134,1.63,9.063,515.5,832.0,0.0,135.0,205.0,314.4,229.0,120.0,0.0025,0.1273344,242.0,955.0,50.9415,0.0001,0,252.0,112.0,1830.0,47,10.0,54.0,54.0,5.0,51.0,13.84489822,50.9415,3.0,2.0,2183.0,1.63,0.0,0.0,7.0,0.0,4.0,7.0,5.0,3680.0,3.0,5.31,6110.0,1.53,12.4,51.0,1.63,37.2,125.0,5.0,5.31,1.63,3.0,1.35,1.63,6.746187,50.941,5.0,192.543,144.408,2.7,2.5,170.8679,2.0,1.779,358.662,2.768,1.3,2.762,2.24,0.0,1.0,1.0,6.0,4.0,0.0,-938.7988714285714,-5360.7193,-2.4291,6.934850133333334,6.0
Cr,24,130.0,7.23,2945.0,7.18,83.0,0.666,1.0,342.0,21.0,6.0,2.88,2130.0,4,8,0.488,93.9,206.0,139.0,122,1.66,9.77,397.48,602.0,140.0,140.0,205.0,302.3,225.0,102.0,0.0003,0.1313053,245.0,709.0,51.9961,0.0006,0,233.0,111.0,1797.0,51,12.0,57.0,55.0,6.0,64.0,12.09293747,51.9961,5.0,1.0,2180.0,1.66,0.0,0.0,5.0,0.0,4.0,6.0,6.0,2944.0,6.0,4.1,7140.0,1.39,11.6,64.0,1.66,42.2,127.0,6.0,4.1,6.7665,6.0,1.4,1.66,6.76651,51.996,6.0,227.08,170.31,2.5,2.5,276.8859,2.08,1.721,402.108,2.552,1.3,2.609,2.065,0.0,1.0,0.0,0.0,0.0,0.0,-1033.5074857142856,-5880.4963,-2.9137,3.3373585833333332,6.0
Mn,25,135.0,7.39,2235.0,7.21,68.0,0.0,2.0,221.0,13.4,7.0,8.89,1517.0,4,8,0.477,0.0,205.0,150.0,119,1.55,10.34,283.3,552.0,147.0,140.0,205.0,296.1,224.0,950.0,0.0002,0.1352844,245.0,635.0,54.938044,3e-06,True,242.0,105.0,1774.0,55,9.0,60.0,72.0,7.0,0.0,12.21270447,54.93804,5.0,2.0,1519.0,1.55,0.0,0.0,5.0,0.0,4.0,5.0,7.0,2334.0,5.0,2.98,7470.0,1.39,9.4,0.0,1.55,47.2,139.0,7.0,0.67,7.434,5.0,1.4,1.55,7.434018,54.938,7.0,269.864,202.398,2.3,2.5,416.7541,2.0,1.725,500.711,2.343,1.3,2.338,1.911,0.0,1.0,1.0,0.0,6.0,0.0,-1132.7033428571428,-6424.8288,-3.3745,2.1850965,6.0
Fe,26,126.0,7.1,3023.0,7.874,62.0,0.151,2.0,340.0,13.8,8.0,2.87,1808.0,4,8,0.443,80.4,204.0,142.0,116,1.83,10.64,415.5,482.0,140.0,140.0,205.0,291.2,223.0,56300.0,0.002,0.1392532,244.0,548.0,55.845,0.002,0,226.0,109.0,0.0,59,4.0,61.0,71.0,8.0,16.0,11.77736497,55.845,6.0,2.0,1811.0,1.83,0.0,0.0,4.0,0.0,4.0,4.0,8.0,3134.0,4.0,4.28,7874.0,1.32,8.4,16.0,1.83,52.7,125.0,8.0,4.28,7.9024,4.0,1.4,1.83,7.9024678,55.847,8.0,267.882,200.911,2.3,2.46,594.3153,2.0,1.701,511.368,2.356,1.3,2.442,1.89,0.0,1.0,1.0,0.0,7.0,0.0,-1236.4283285714287,-6993.844,-3.8151,1.611355266666667,6.0
Co,27,125.0,6.7,3143.0,8.9,55.0,0.66225646,2.0,389.1,15.48,9.0,2.51,1768.0,4,8,0.456,100.0,200.0,138.0,111,1.88,10.86,426.7,408.0,137.0,135.0,200.0,287.2,223.0,25.0,2e-05,0.1432363,240.0,461.0,58.933194,4e-06,True,222.0,103.0,1739.0,63,4.0,64.0,70.0,9.0,64.0,10.99586068,58.93319,7.0,2.0,1768.0,1.88,0.0,0.0,3.0,0.0,4.0,3.0,9.0,3200.0,3.0,4.39,8900.0,1.26,7.5,64.0,1.88,58.9,126.0,9.0,4.39,7.881,3.0,1.35,1.88,7.88101,58.933,9.0,267.968,200.976,2.3,2.46,813.367,2.0,1.203,477.818,2.36,1.3,2.393,1.864,0.0,1.0,1.0,0.0,8.0,0.0,-1344.7187428571426,-7587.6674,-4.2382,0.9698726666666669,6.0
Ni,28,124.0,6.6,3005.0,8.902,49.0,1.156,2.0,378.6,17.61,10.0,3.52,1726.0,4,8,0.443,90.9,197.0,124.0,110,1.91,11.13,430.1,373.0,135.0,135.0,200.0,283.4,222.0,84.0,0.00056,0.1472068,240.0,393.0,58.6934,0.0004,0,219.0,101.0,1751.0,67,3.0,67.0,69.0,10.0,112.0,10.94128444,58.6934,8.0,2.0,1728.0,1.91,0.0,0.0,2.0,0.0,4.0,2.0,10.0,3186.0,2.0,4.44,8908.0,1.24,6.8,112.0,1.91,66.2,121.0,10.0,4.44,7.6398,2.0,1.35,1.91,7.639877,58.69,10.0,269.532,202.149,2.3,2.43,1077.6739,2.0,1.201,544.565,2.357,1.3,2.39,1.838,0.0,1.0,0.0,0.0,0.0,0.0,-1457.6078571428575,-8206.4253,-4.4926,0.6104493,6.0
Cu,29,128.0,7.1,2840.0,8.96,46.5,1.235,1.0,304.6,13.01,11.0,3.61,1356.6,4,8,0.385,401.0,196.0,132.0,112,1.9,10.96,337.4,253.0,137.0,135.0,200.0,349.5,226.0,60.0,0.00025,0.1511716,238.0,264.0,63.546,0.003,0,217.0,115.0,0.0,71,0.5,72.0,68.0,11.0,118.0,11.82994193,63.546,10.0,1.0,1357.77,1.9,0.0,0.0,0.0,0.0,4.0,1.0,11.0,3200.0,1.0,3.49,8920.0,1.32,6.15,118.0,1.9,75.1,138.0,1.0,3.49,7.7263,1.0,1.35,1.9,7.72638,63.546,11.0,295.446,221.585,2.3,2.2,1390.9808,2.0,0.0,586.98,2.344,1.3,2.302,1.771,0.0,1.0,0.0,1.0,10.0,0.0,-1575.1276714285716,-8850.2468,-4.6097,4.456163342857144,7.0
Zn,30,138.0,9.2,1180.0,7.133,38.67,0.0,2.0,114.8,7.28,12.0,2.66,692.73,4,8,0.388,116.0,201.0,122.0,118,1.65,9.395,130.4,284.0,132.0,135.0,210.0,276.3,229.0,70.0,0.0049,0.1551518,239.0,276.0,65.38,0.02,0,222.0,120.0,0.0,77,0.3,76.0,74.0,12.0,0.0,15.20568373,65.38,10.0,2.0,692.68,1.65,0.0,0.0,0.0,0.0,4.0,0.0,12.0,1180.0,0.0,1.35,7140.0,1.22,5.816666667,0.0,1.65,10.1,131.0,2.0,1.35,1.65,0.0,1.35,1.65,9.394199,65.39,12.0,276.723,207.542,2.3,2.4,1748.8345,2.0,1.828,575.892,2.347,1.3,2.324,1.788,0.0,1.0,0.0,2.0,10.0,0.0,-1702.2082857142855,-9524.6913,-5.9785,-2.6520072333333333,6.0
Ga,31,141.0,11.8,2676.0,5.91,50.0,0.43,3.0,270.3,5.59,13.0,4.51,302.93,4,7,0.372,28.1,187.0,122.0,124,1.81,10.39,271.96,498.0,0.0,130.0,210.0,438.3,246.0,19.0,3e-05,0.1723773,232.0,456.0,69.723,0.001,0,233.0,117.0,1875.0,83,3.0,81.0,79.0,13.0,29.0,19.61051348,69.723,10.0,2.0,302.91,1.81,0.0,1.0,0.0,0.0,4.0,5.0,13.0,2477.0,1.0,2.81,5904.0,1.22,8.12,29.0,1.81,18.7,126.0,3.0,2.81,5.9993,1.0,1.3,1.81,5.9993018,69.723,3.0,134.678,101.009,2.6,2.65,58.8688,2.17,0.0,320.264,2.658,1.3,2.684,2.308,0.0,1.0,2.0,1.0,0.0,0.0,-1608.4017000000001,-10228.783,-2.5791,-2.0212665,6.0
Ge,32,137.0,13.6,3103.0,5.323,40.0,1.232712,4.0,328.0,36.8,14.0,5.66,1210.6,4,5,0.322,60.2,211.0,120.0,121,2.01,11.8,372.0,354.0,0.0,125.0,210.0,428.0,244.0,1.5,5e-05,0.1895892,229.0,365.0,72.63,0.008,0,234.0,111.0,1886.0,89,1.0,84.0,84.0,14.0,119.0,22.66097638,72.63,10.0,2.0,1211.4,2.01,0.0,2.0,0.0,0.0,4.0,4.0,14.0,3093.0,2.0,3.85,5323.0,1.2,5.84,119.0,2.01,29.2,122.0,4.0,3.85,7.8994,2.0,1.25,2.01,7.899435,72.61,4.0,173.807,130.355,2.3,2.3,104.996,2.17,0.0,385.843,2.342,1.3,2.318,2.103,0.0,1.0,2.0,2.0,0.0,0.0,-1732.3678625,-10959.8463,-3.8952,-3.7347606666666664,6.0
As,33,139.0,13.1,876.0,5.73,30.0,0.804,5.0,32.4,0.0,15.0,4.13,1090.0,4,5,0.328,0.0,185.0,119.0,121,2.18,13.08,302.5,246.0,126.0,115.0,205.0,423.0,236.0,1.8,0.0037,0.2068208,188.0,260.0,74.921595,6e-06,True,231.0,114.0,0.0,95,1.0,89.0,90.0,15.0,78.0,21.72396574,74.92159,10.0,2.0,1090.0,2.18,0.0,3.0,0.0,0.0,4.0,3.0,15.0,887.0,3.0,2.96,5727.0,1.19,4.31,78.0,2.18,41.7,119.0,5.0,2.96,9.7886,3.0,1.15,2.18,9.789,74.922,5.0,208.702,156.526,2.1,2.3,170.1867,1.9,0.0,462.758,2.144,1.3,2.14,1.956,0.0,1.0,2.0,3.0,0.0,0.0,-1861.5311375000003,-11718.0418,-5.1947,-1.8667893666666664,6.0
Se,34,140.0,16.5,958.1,4.79,28.9,2.02067,6.0,59.7,5.23,16.0,4.36,490.0,4,1,0.0,0.52,190.0,120.0,116,2.55,14.34,227.2,210.0,117.0,115.0,190.0,420.5,229.0,0.05,0.0002,0.2240328,182.0,233.0,78.971,0.008,0,224.0,107.0,1818.0,101,1.0,93.0,95.0,16.0,195.0,27.20880463,78.971,10.0,2.0,494.0,2.55,0.0,4.0,0.0,0.0,4.0,2.0,16.0,958.0,2.0,2.46,4819.0,1.2,3.77,195.0,2.55,54.6,116.0,6.0,2.46,2.55,2.0,1.15,2.55,9.752392,78.96,6.0,211.555,158.666,2.1,2.2,257.1286,1.9,0.0,446.842,2.147,1.3,2.177,1.928,0.0,1.0,2.0,4.0,0.0,0.0,-1995.8886625,-12503.4787,-6.511,-7.890003516666667,6.0
Br,35,0.0,23.5,331.9,3.12,21.0,3.3635882,7.0,29.56,10.57,17.0,6.67,265.9,4,6,0.0,0.005,185.0,120.0,114,2.96,15.88,111.85,162.0,119.0,115.0,190.0,418.9,222.0,2.4,67.3,0.2412578,186.0,187.0,79.904,0.0,0,219.0,109.0,1826.0,108,1.0,98.0,100.0,17.0,325.0,42.52782532,79.904,10.0,2.0,265.8,2.96,0.0,5.0,0.0,0.0,4.0,1.0,17.0,332.0,1.0,1.22,3120.0,1.2,3.05,325.0,2.96,69.0,114.0,7.0,1.22,11.8138,1.0,1.15,2.96,11.81381,79.904,7.0,216.285,162.214,2.1,2.2,368.4488,1.9,0.0,503.852,2.139,1.3,2.186,1.89,0.0,1.0,2.0,5.0,0.0,0.0,-2135.441925,-13316.2796,-7.8591,-10.361889966666666,6.0
Kr,36,0.0,32.2,120.85,2.155,16.78,0.0,8.0,9.05,0.0,18.0,5.72,116.6,4,2,0.247,0.0095,202.0,116.0,117,0.0,17.54,0.0,130.0,0.0,0.0,0.0,414.1,215.0,0.0001,0.00021,0.2584813,207.0,136.0,83.798,0.002,0,212.0,121.0,1898.0,115,0.02,4.0,4.0,18.0,0.0,37107.49474,83.798,10.0,2.0,115.79,0.0,0.0,6.0,0.0,0.0,4.0,0.0,18.0,119.78,0.0,0.116,3.75,1.16,2.4844,0.0,0.0,14.1,110.0,0.0,0.116,13.9996,0.0,0.0,3.0,13.9996049,83.8,8.0,185.331,138.998,2.3,2.5,506.7358,2.0,0.0,334.95,2.354,1.3,2.368,1.821,0.0,1.0,2.0,6.0,0.0,0.0,-2280.2001375,-14156.5824,-9.2466,5.192101475,4.0
Rb,37,248.0,55.9,961.0,1.532,319.8,0.48592,1.0,75.8,2.2,1.0,5.59,312.2,5,3,0.36,58.2,303.0,220.0,210,0.82,4.177,80.9,4769.0,225.0,235.0,290.0,411.4,325.0,90.0,0.12,0.104686,321.0,4660.0,85.4678,0.0003,0,240.0,202.0,1861.0,4,0.3,9.0,9.0,1.0,47.0,92.64095184,85.4678,0.0,1.0,312.46,0.82,0.0,0.0,0.0,0.0,5.0,1.0,1.0,961.0,1.0,0.852,1532.0,2.2,47.27,47.0,0.82,15.3,211.0,1.0,0.852,0.82,1.0,2.35,0.82,4.177128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sr,38,215.0,33.7,1657.0,2.54,197.2,0.048,2.0,144.0,9.2,2.0,6.08,1042.0,5,4,0.301,0.0,249.0,195.0,185,0.95,5.695,164.0,3175.0,195.0,200.0,255.0,364.1,300.0,370.0,7.9,0.1185082,284.0,3230.0,87.62,0.01,0,279.0,157.0,1790.0,8,0.2,15.0,15.0,2.0,5.0,55.32313078,87.62,0.0,2.0,1050.0,0.95,0.0,0.0,0.0,0.0,5.0,0.0,2.0,1655.0,0.0,1.72,2630.0,1.95,25.55,5.0,0.95,20.1,192.0,2.0,1.72,0.95,0.0,2.0,0.95,5.6948672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y,39,178.0,19.8,3611.0,4.47,162.0,0.307,2.0,367.0,11.5,3.0,3.65,1795.0,5,8,0.284,0.0,232.0,190.0,163,1.22,6.631,424.7,0.0,0.0,180.0,240.0,334.5,271.0,33.0,1.3e-05,0.1216986,275.0,2600.0,88.90584,2e-05,True,274.0,130.0,1789.0,12,12.0,19.0,21.0,3.0,30.0,33.01321288,88.90584,1.0,2.0,1799.0,1.22,0.0,0.0,9.0,0.0,5.0,9.0,3.0,3618.0,1.0,4.37,4472.0,1.9,22.7,30.0,1.22,23.1,162.0,3.0,4.37,1.22,1.0,1.8,1.22,6.21726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zr,40,160.0,14.1,4650.0,6.506,112.0,0.426,2.0,567.0,19.2,4.0,3.23,2125.0,5,8,0.281,22.7,223.0,175.0,154,1.33,7.808,610.0,0.0,0.0,155.0,230.0,312.4,254.0,165.0,3e-05,0.1248887,252.0,1360.0,91.224,0.002,0,268.0,127.0,1789.0,44,13.0,49.0,49.0,4.0,41.0,23.26594327,91.224,2.0,2.0,2128.0,1.33,0.0,0.0,8.0,0.0,5.0,8.0,4.0,4682.0,2.0,6.25,6511.0,1.75,17.9,41.0,1.33,27.1,148.0,4.0,6.25,1.33,2.0,1.55,1.33,6.6339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nb,41,146.0,10.8,5015.0,8.57,98.0,0.917406,1.0,680.0,26.8,5.0,3.3,2741.0,5,8,0.268,53.7,218.0,164.0,147,1.6,8.34,733.0,0.0,0.0,145.0,215.0,316.5,243.0,20.0,1e-05,0.1280782,256.0,1140.0,92.90637,2e-05,True,251.0,125.0,1801.0,48,8.0,52.0,53.0,5.0,86.0,18.00213298,92.90637,4.0,1.0,2750.0,1.6,0.0,0.0,6.0,0.0,5.0,7.0,5.0,5017.0,5.0,7.57,8570.0,1.64,15.7,86.0,1.6,30.8,137.0,5.0,7.57,6.7588,5.0,1.45,1.6,6.75885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mo,42,139.0,9.4,4885.0,10.22,87.0,0.748,1.0,590.0,28.0,6.0,3.15,2890.0,5,8,0.251,0.0,217.0,154.0,138,2.16,8.71,658.98,0.0,0.0,145.0,210.0,305.2,239.0,1.2,0.01,0.1312672,245.0,1030.0,95.95,0.01,0,244.0,121.0,1778.0,52,6.0,55.0,56.0,6.0,72.0,15.50088069,95.95,5.0,1.0,2896.0,2.16,0.0,0.0,5.0,0.0,5.0,6.0,6.0,4912.0,6.0,6.82,10280.0,1.54,12.8,72.0,2.16,35.5,145.0,6.0,6.82,7.0924,6.0,1.45,2.16,7.09243,95.94,6.0,224.584,168.438,2.75,2.75,217.5176,2.2,2.111,345.278,2.821,1.3,2.815,2.211,0.0,1.0,4.0,5.0,0.0,0.0,-2630.72603,-19819.0341,-3.7535,5.551019466666667,6.0
Tc,43,136.0,8.5,5150.0,11.5,79.0,0.55,1.0,585.0,23.8,7.0,2.74,2445.0,5,8,0.243,50.6,216.0,147.0,128,2.1,8.94,678.0,0.0,0.0,135.0,205.0,299.8,236.0,0.0,0.0,0.1344592,244.0,939.0,97.90721,3e-05,0,241.0,120.0,1937.0,56,10.0,58.0,59.0,7.0,53.0,14.15101151,97.90721,5.0,2.0,2430.0,1.9,0.0,0.0,5.0,0.0,5.0,5.0,7.0,4538.0,5.0,6.85,11500.0,1.47,11.4,53.0,1.9,39.9,156.0,7.0,6.85,1.9,5.0,1.35,1.9,7.119381,98.906,7.0,228.694,171.521,2.8,2.75,322.732,2.25,0.0,384.541,2.873,1.3,2.844,2.188,0.0,1.0,4.0,5.0,0.0,0.0,-2779.12817,-20861.6285,-4.1695,4.985031057142857,7.0
Ru,44,134.0,8.3,4173.0,12.41,72.0,1.05,1.0,0.0,25.5,8.0,2.7,2583.0,5,8,0.238,117.0,213.0,146.0,125,2.2,9.1,650.6,0.0,0.0,130.0,205.0,296.3,234.0,0.001,7e-07,0.1376494,246.0,809.0,101.07,0.02,0,237.0,114.0,1844.0,60,10.0,63.0,61.0,8.0,101.0,13.56787441,101.07,7.0,1.0,2607.0,2.2,0.0,0.0,3.0,0.0,5.0,4.0,8.0,4423.0,4.0,6.74,12370.0,1.46,9.6,101.0,2.2,43.2,126.0,8.0,6.74,2.2,4.0,1.3,2.2,7.3605,101.07,8.0,213.271,159.953,2.7,2.65,454.8837,2.17,0.0,333.494,2.758,1.3,2.865,2.25,0.0,1.0,1.0,0.0,7.0,0.0,-2931.83315,-21933.2693,-4.2392,4.127661357142857,7.0
Rh,45,134.0,8.3,4000.0,12.41,66.0,1.137,1.0,494.0,21.8,9.0,3.8,2239.0,5,8,0.244,150.0,210.0,142.0,125,2.28,9.259,556.0,0.0,0.0,135.0,200.0,292.9,234.0,0.001,0.0,0.1408379,244.0,708.0,102.9055,2e-05,True,233.0,110.0,1803.0,64,10.0,66.0,63.0,9.0,110.0,13.72550981,102.9055,8.0,1.0,2237.0,2.28,0.0,0.0,2.0,0.0,5.0,3.0,9.0,3968.0,3.0,5.75,12450.0,1.42,8.6,110.0,2.28,47.3,135.0,9.0,5.75,7.4589,3.0,1.35,2.28,7.4589,102.906,9.0,228.996,171.747,2.7,2.65,616.4198,2.17,0.0,374.513,2.752,1.3,2.703,2.174,0.0,1.0,1.0,0.0,8.0,0.0,-3088.88749,-23034.1986,-4.2999,1.0799229571428575,7.0
Pd,46,137.0,8.9,3413.0,12.02,26.14,0.562,1.0,372.4,17.24,10.0,3.89,1825.0,5,8,0.244,71.8,210.0,139.0,120,2.2,9.402,376.6,0.0,0.0,140.0,205.0,289.9,237.0,0.015,0.0,0.1440276,215.0,628.0,106.42,0.01,0,215.0,117.0,1803.0,68,0.1,69.0,65.0,10.0,54.0,14.69838627,106.42,10.0,0.0,1828.05,2.2,0.0,0.0,0.0,0.0,5.0,0.0,10.0,3236.0,0.0,3.89,12023.0,1.39,4.8,54.0,2.2,50.9,131.0,10.0,3.89,8.3369,0.0,1.4,2.2,8.33686,106.42,10.0,250.925,188.194,2.6,2.71,809.753,2.0,0.0,416.23,2.653,1.3,2.734,2.103,0.0,1.0,0.0,0.0,0.0,0.0,-3250.33512,-24164.6631,-4.3543,-1.0107587428571427,7.0
Ag,47,144.0,10.3,2485.0,10.5,55.0,1.302,1.0,254.1,11.95,11.0,4.09,1235.1,5,8,0.237,429.0,211.0,145.0,128,1.93,11.05,284.9,0.0,177.0,160.0,210.0,314.8,243.0,0.075,4e-05,0.1472165,253.0,341.0,107.8682,0.0002,0,225.0,139.0,0.0,72,8.0,71.0,67.0,11.0,126.0,17.07564795,107.8682,10.0,1.0,1234.93,1.93,0.0,0.0,0.0,0.0,5.0,1.0,11.0,2435.0,1.0,2.95,10490.0,1.45,6.99,126.0,1.93,58.3,153.0,1.0,2.95,1.93,1.0,1.6,1.93,7.576234,107.868,11.0,249.844,187.383,2.5,2.84,1037.2675,2.0,0.0,412.496,2.56,1.3,2.576,2.072,0.0,1.0,0.0,0.0,0.0,0.0,-3416.2190199999995,-25324.9161,-4.4045,0.4383312142857147,7.0
Cd,48,154.0,13.1,1038.0,8.65,46.0,0.0,2.0,59.1,6.11,12.0,2.98,594.1,5,8,0.232,96.9,218.0,144.0,136,1.69,8.995,111.8,0.0,160.0,155.0,220.0,284.8,250.0,0.15,0.00011,0.1504066,249.0,405.0,112.414,0.004,0,238.0,144.0,1817.0,78,2.0,75.0,75.0,12.0,0.0,21.58002546,112.414,10.0,2.0,594.22,1.69,0.0,0.0,0.0,0.0,5.0,0.0,12.0,1040.0,0.0,1.16,8650.0,1.44,7.32,0.0,1.69,10.7,148.0,2.0,1.16,8.9938,0.0,1.55,1.69,8.993822,112.411,12.0,274.336,205.752,2.3,2.98,1293.1815,2.0,2.054,456.106,2.358,1.3,2.45,1.955,0.0,1.0,0.0,0.0,0.0,0.0,-3590.76054,-26519.7817,-5.6592,-4.401418266666667,6.0
In,49,166.0,15.7,2353.0,7.31,65.0,0.3,3.0,225.1,3.24,13.0,4.59,429.32,5,7,0.234,81.8,193.0,142.0,142,1.78,9.793,243.0,779.0,0.0,155.0,220.0,446.3,264.0,0.25,0.02,0.16423,243.0,643.0,114.818,0.001,0,246.0,136.0,1863.0,84,4.0,79.0,80.0,13.0,29.0,26.08265816,114.818,10.0,2.0,429.75,1.78,0.0,1.0,0.0,0.0,5.0,5.0,13.0,2345.0,1.0,2.52,7310.0,1.42,9.65,29.0,1.78,16.9,144.0,3.0,2.52,5.7863,1.0,1.55,1.78,5.7863552,114.82,3.0,95.934,71.951,3.1,3.17,53.7908,2.4,0.0,237.125,3.168,1.3,3.187,2.711,0.0,1.0,2.0,1.0,0.0,0.0,-3429.7969818181823,-27747.9169,-2.5185,-2.7260416333333333,6.0
Sn,50,162.0,16.3,2543.0,7.31,53.0,1.112067,4.0,296.0,7.07,14.0,5.82,505.1,5,7,0.222,66.8,217.0,139.0,140,1.96,10.79,301.2,659.0,140.0,145.0,225.0,439.2,259.0,2.3,4e-06,0.178052,242.0,715.0,118.71,0.007,0,248.0,130.0,0.0,90,6.0,83.0,83.0,14.0,107.0,26.96678526,118.71,10.0,2.0,505.08,1.96,0.0,2.0,0.0,0.0,5.0,4.0,14.0,2875.0,2.0,3.14,7310.0,1.39,7.06,107.0,1.96,23.9,141.0,4.0,3.14,1.96,2.0,1.45,1.96,7.343917,118.71,4.0,103.236,77.427,3.0,2.96,94.086,2.0,0.0,263.585,3.078,1.3,3.022,2.655,0.0,1.0,2.0,2.0,0.0,0.0,-3599.7329363636363,-29007.2859,-3.694,1.8116243666666663,6.0
Sb,51,159.0,18.4,1908.0,6.691,43.0,1.046,5.0,195.2,20.08,15.0,4.51,903.9,5,5,0.205,24.43,206.0,139.0,140,2.05,11.74,264.4,492.0,140.0,145.0,220.0,442.0,252.0,0.2,0.00024,0.1918774,247.0,504.0,121.76,0.001,0,246.0,133.0,0.0,96,2.0,88.0,91.0,15.0,103.0,30.19142344,121.76,10.0,2.0,903.78,2.05,0.0,3.0,0.0,0.0,5.0,3.0,15.0,1860.0,3.0,2.75,6697.0,1.39,6.6,103.0,2.05,32.1,138.0,5.0,2.75,8.6083,3.0,1.45,2.05,8.608389,121.75,5.0,172.069,129.052,2.3,2.98,149.9515,2.2,0.0,380.513,2.346,1.3,2.36,2.192,0.0,1.0,2.0,3.0,0.0,0.0,-3774.3903363636364,-30298.2797,-4.8276,-1.703064333333333,6.0
